,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-02-03 14:21:00,2019-02-03 15:19:00,I-495N north @ MM 49.000,58,1.0
1,Collision,2019-02-04 07:23:00,2019-02-05 07:40:00,I-495N north @ MM 42.300,1457,1.0
2,Collision,2019-02-04 08:14:00,2019-02-04 08:52:00,I-495N north @ MM 47.400,38,1.0
3,Collision,2019-02-04 10:06:00,2019-02-04 10:42:00,I-495N north @ MM 48.000,36,1.0
4,Collision,2019-02-04 10:45:00,2019-02-04 12:28:00,I-495S south @ MM 48.900,103,2.0
5,Collision,2019-02-04 15:26:00,2019-02-04 17:33:00,I-495S south @ MM 52.000,127,2.0
6,Collision,2019-02-04 19:20:00,2019-02-04 21:01:00,I-495S south @ MM 49.000,101,1.0
7,Collision,2019-02-05 07:00:00,2019-02-05 07:51:00,I-495S south @ MM 42.300,51,1.0
8,Collision,2019-02-05 14:44:00,2019-02-05 15:49:00,I-495S south @ MM 54.000,65,2.0
9,Collision,2019-02-05 16:51:00,2019-02-05 17:48:00,I-495S south @ MM 47.400,57,1.0
10,Collision,2019-02-06 08:14:00,2019-02-06 09:52:00,I-495S south @ MM 49.700,98,1.0
11,Collision,2019-02-06 12:08:00,2019-02-06 13:20:00,I-495N north @ MM 46.600,72,1.0
12,Collision,2019-02-07 07:23:00,2019-02-07 08:15:00,I-495N north @ MM 56.000,52,1.0
13,Collision,2019-02-08 07:22:00,2019-02-08 08:12:00,I-495N north @ MM 55.400,50,1.0
14,Collision,2019-02-08 13:09:00,2019-02-09 07:48:00,I-495N north @ MM 49.600,1119,3.0
15,Collision,2019-02-08 23:56:00,2019-02-09 00:53:00,I-495N north @ MM 54.000,57,1.0
16,Collision,2019-02-10 04:46:00,2019-02-10 05:58:00,I-495N north @ MM 44.000,72,1.0
17,Collision,2019-02-11 06:53:00,2019-02-11 08:02:00,I-495S south @ MM 46.000,69,1.0
18,Collision,2019-02-11 12:01:00,2019-02-11 13:26:00,I-495N north @ MM 54.000,85,1.0
19,Collision,2019-02-11 16:51:00,2019-02-11 17:40:00,I-495S south @ MM 51.000,49,1.0
