,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-04-01 21:39:00,2019-04-02 00:50:00,I-495S south @ MM 51.000,191,3.0
1,Collision,2019-04-03 07:38:00,2019-04-03 08:45:00,I-495N north @ MM 51.500,67,1.0
2,Collision,2019-04-03 09:24:00,2019-04-03 10:24:00,I-495N north @ MM 52.000,60,1.0
3,Collision,2019-04-03 13:42:00,2019-04-03 16:36:00,I-495N north @ MM 45.100,174,1.0
4,Collision,2019-04-03 15:26:00,2019-04-03 16:09:00,I-495N north @ MM 43.000,43,1.0
5,Collision,2019-04-03 16:10:00,2019-04-03 16:43:00,I-495N north @ MM 47.000,33,1.0
6,Collision,2019-04-03 17:02:00,2019-04-03 17:38:00,I-495N north @ MM 49.000,36,1.0
7,Collision,2019-04-03 17:52:00,2019-04-03 18:50:00,I-495S south @ MM 48.800,58,1.0
8,Collision,2019-04-04 06:44:00,2019-04-04 08:28:00,I-495N north @ MM 52.100,104,1.0
9,Collision,2019-04-04 08:31:00,2019-04-04 09:27:00,I-495N north @ MM 42.600,56,1.0
10,Collision,2019-04-04 08:42:00,2019-04-04 09:29:00,I-495S south @ MM 50.100,47,1.0
11,Collision,2019-04-04 10:29:00,2019-04-04 11:04:00,I-495N north @ MM 43.800,35,1.0
12,Collision,2019-04-04 12:58:00,2019-04-04 15:19:00,I-495N north @ MM 49.100,141,1.0
13,Collision,2019-04-04 15:59:00,2019-04-04 17:12:00,I-495S south @ MM 51.200,73,1.0
14,Collision,2019-04-05 08:39:00,2019-04-05 10:58:00,I-495N north @ MM 50.200,139,1.0
15,Collision,2019-04-05 18:44:00,2019-04-05 20:05:00,I-495S south @ MM 50.000,81,1.0
16,Collision,2019-04-05 20:44:00,2019-04-05 22:31:00,I-495S south @ MM 52.400,107,1.0
17,Collision,2019-04-06 01:56:00,2019-04-06 03:27:00,I-495N north @ MM 54.000,91,4.0
18,Collision,2019-04-06 03:26:00,2019-04-06 04:40:00,I-495N north @ MM 49.400,74,1.0
19,Collision,2019-04-06 18:56:00,2019-04-06 19:30:00,I-495N north @ MM 43.000,34,1.0
20,Collision,2019-04-07 03:04:00,2019-04-07 05:27:00,I-495N north @ MM 49.000,143,
21,Collision,2019-04-07 05:08:00,2019-04-07 05:57:00,I-495S south @ MM 45.000,49,1.0
22,Collision,2019-04-08 08:21:00,2019-04-08 10:00:00,I-495S south @ MM 43.700,99,1.0
23,Collision,2019-04-08 10:52:00,2019-04-08 11:37:00,I-495N north @ MM 43.000,45,1.0
24,Collision,2019-04-08 16:51:00,2019-04-08 19:46:00,I-495S south @ MM 51.000,175,1.0
25,Collision,2019-04-08 18:08:00,2019-04-08 18:52:00,I-495S south @ MM 57.000,44,
26,Collision,2019-04-09 07:53:00,2019-04-09 09:31:00,I-495N north @ MM 54.800,98,4.0
27,Collision,2019-04-09 08:09:00,2019-04-09 09:32:00,I-495N north @ MM 54.800,83,4.0
28,Collision,2019-04-09 22:25:00,2019-04-09 23:13:00,I-495S south @ MM 50.800,48,3.0
29,Collision,2019-04-10 07:54:00,2019-04-10 09:20:00,I-495N north @ MM 51.800,86,1.0
30,Collision,2019-04-10 17:23:00,2019-04-10 18:07:00,I-495N north @ MM 47.200,44,1.0
31,Collision,2019-04-10 18:38:00,2019-04-10 19:09:00,I-495S south @ MM 47.400,31,1.0
32,Collision,2019-04-11 19:01:00,2019-04-11 19:33:00,I-495N north @ MM 44.000,32,1.0
33,Collision,2019-04-11 23:20:00,2019-04-12 00:08:00,I-495S south @ MM 57.000,48,1.0
34,Collision,2019-04-12 13:26:00,2019-04-12 14:49:00,I-495S south @ MM 51.300,83,1.0
35,Collision,2019-04-12 15:10:00,2019-04-12 15:51:00,I-495N north @ MM 47.000,41,1.0
36,Collision,2019-04-12 20:00:00,2019-04-12 20:45:00,I-495S south @ MM 51.000,45,1.0
37,Collision,2019-04-13 09:10:00,2019-04-13 10:51:00,I-495N north @ MM 44.300,101,2.0
