,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-02-05 09:35:00,2019-02-05 10:48:00,I-95,Level_3,1.0
1,Collision,2019-02-05 17:06:00,2019-02-05 18:17:00,I-95,Level_3,
2,Collision,2019-02-06 04:22:00,2019-02-06 04:59:00,I-95,Level_2,1.0
3,Collision,2019-02-08 18:29:00,2019-02-08 18:55:00,I-95,Level_1,1.0
4,Collision,2019-02-10 03:29:00,2019-02-10 05:12:00,I-95,Level_3,2.0
5,Collision,2019-02-10 06:32:00,2019-02-10 08:10:00,I-95,Level_3,1.0
6,Collision,2019-02-13 09:43:00,2019-02-13 09:59:00,I-95,Level_1,
7,Collision,2019-02-14 23:55:00,2019-02-15 00:28:00,I-95,Level_2,2.0
8,Collision,2019-02-15 09:30:00,2019-02-15 09:35:00,I-95,Level_1,1.0
9,Collision,2019-02-15 23:31:00,2019-02-16 00:44:00,I-95,Level_3,2.0
10,Collision,2019-02-16 00:10:00,2019-02-16 00:58:00,I-95,Level_2,2.0
11,Collision,2019-02-16 03:12:00,2019-02-16 04:15:00,I-95,Level_3,2.0
12,Collision,2019-02-16 12:50:00,2019-02-16 13:30:00,I-95,Level_2,1.0
13,Collision,2019-02-16 20:30:00,2019-02-16 21:12:00,I-95,Level_2,1.0
14,Collision,2019-02-17 13:21:00,2019-02-17 15:00:00,I-95,Level_3,2.0
15,Collision,2019-02-17 14:05:00,2019-02-17 14:47:00,I-95,Level_2,
16,Collision,2019-02-17 20:47:00,2019-02-17 21:19:00,I-95,Level_2,
17,Collision,2019-02-17 21:55:00,2019-02-17 22:55:00,I-95,Level_2,
18,Collision,2019-02-18 01:22:00,2019-02-18 06:17:00,I-95,Level_5,4.0
19,Collision,2019-02-18 12:23:00,2019-02-18 13:16:00,I-95,Level_2,1.0
20,Collision,2019-02-21 15:58:00,2019-02-21 17:30:00,I-95,Level_3,1.0
21,Collision,2019-02-21 20:40:00,2019-02-21 21:13:00,I-95,Level_2,
22,Collision,2019-02-21 22:54:00,2019-02-21 23:20:00,I-95,Level_1,1.0
23,Collision,2019-02-22 10:58:00,2019-02-25 08:21:00,I-95,Level_5,2.0
24,Collision,2019-02-22 17:51:00,2019-02-22 18:35:00,I-95,Level_2,1.0
25,Collision,2019-02-23 02:52:00,2019-02-23 03:39:00,I-95,Level_2,2.0
26,Collision,2019-02-23 06:55:00,2019-02-23 08:04:00,I-95,Level_3,2.0
27,Collision,2019-02-23 12:12:00,2019-02-23 12:35:00,I-95,Level_1,
28,Collision,2019-02-23 13:39:00,2019-02-23 14:23:00,I-95,Level_2,2.0
29,Collision,2019-02-23 21:14:00,2019-02-23 22:20:00,I-95,Level_3,1.0
30,Collision,2019-02-23 22:14:00,2019-02-23 22:36:00,I-95,Level_1,1.0
31,Collision,2019-02-26 07:10:00,2019-02-26 07:50:00,I-95,Level_2,1.0
32,Collision,2019-02-27 13:24:00,2019-02-27 14:00:00,I-95,Level_2,1.0
33,Collision,2019-02-01 18:18:00,2019-02-01 20:07:00,I-95,Level_3,2.0
34,Collision,2019-02-02 18:55:00,2019-02-02 20:42:00,I-95,Level_3,1.0
35,Collision,2019-03-01 11:05:00,2019-03-01 12:19:00,I-95,Level_3,2.0
36,Collision,2019-03-01 11:55:00,2019-03-01 13:05:00,I-95,Level_3,2.0
37,Collision,2019-03-01 18:01:00,2019-03-01 19:21:00,I-95,Level_3,1.0
38,Collision,2019-03-01 17:50:00,2019-03-01 18:31:00,I-95,Level_2,
39,Collision,2019-03-02 01:32:00,2019-03-02 02:16:00,I-95,Level_2,
40,Collision,2019-03-03 18:21:00,2019-03-03 18:25:00,I-95,Level_1,
41,Collision,2019-03-04 10:15:00,2019-03-04 10:52:00,I-95,Level_2,1.0
42,Collision,2019-03-04 19:39:00,2019-03-04 20:55:00,I-95,Level_3,3.0
43,Collision,2019-03-06 00:20:00,2019-03-06 08:35:00,I-95,Level_5,1.0
44,Collision,2019-03-06 17:31:00,2019-03-06 18:01:00,I-95,Level_1,1.0
45,Collision,2019-03-07 21:35:00,2019-03-07 22:49:00,I-95,Level_3,1.0
46,Collision,2019-03-08 06:01:00,2019-03-08 07:20:00,I-95,Level_3,1.0
47,Collision,2019-03-09 12:41:00,2019-03-25 09:27:00,I-95,Level_5,1.0
48,Collision,2019-03-09 21:54:00,2019-03-09 23:12:00,I-95,Level_3,
49,Collision,2019-03-09 22:03:00,2019-03-12 07:24:00,I-95,Level_5,2.0
50,Collision,2019-03-10 04:36:00,2019-03-10 05:32:00,I-95,Level_2,3.0
51,Collision,2019-03-10 17:49:00,2019-03-11 17:57:00,I-95,Level_5,1.0
52,Collision,2019-03-10 22:57:00,2019-03-10 23:36:00,I-95,Level_2,1.0
53,Collision,2019-03-12 07:03:00,2019-03-12 07:34:00,I-95,Level_2,1.0
54,Collision,2019-03-14 13:13:00,2019-03-14 13:23:00,I-95,Level_1,
55,Collision,2019-03-15 07:52:00,2019-03-15 09:15:00,I-95,Level_3,
56,Collision,2019-03-15 07:57:00,2019-03-15 08:51:00,I-95,Level_2,2.0
57,Collision,2019-03-15 11:56:00,2019-03-15 13:21:00,I-95,Level_3,1.0
58,Collision,2019-03-15 13:30:00,2019-03-18 08:16:00,I-95,Level_5,1.0
59,Collision,2019-03-15 14:48:00,2019-03-15 16:04:00,I-95,Level_3,
60,Collision,2019-03-16 05:30:00,2019-03-16 06:48:00,I-95,Level_3,2.0
61,Collision,2019-03-16 17:00:00,2019-03-16 18:25:00,I-95,Level_3,1.0
62,Collision,2019-03-17 15:31:00,2019-03-18 06:29:00,I-95,Level_5,4.0
63,Collision,2019-03-17 16:20:00,2019-03-18 06:52:00,I-95,Level_5,2.0
64,Collision,2019-03-17 22:58:00,2019-03-17 23:59:00,I-95,Level_3,3.0
65,Collision,2019-03-18 17:31:00,2019-03-18 17:40:00,I-95,Level_1,
66,Collision,2019-03-19 05:30:00,2019-03-20 08:47:00,I-95,Level_5,1.0
67,Collision,2019-03-19 07:21:00,2019-03-19 08:16:00,I-95,Level_2,2.0
68,Collision,2019-03-19 08:13:00,2019-03-19 08:29:00,I-95,Level_1,2.0
69,Collision,2019-03-21 13:27:00,2019-03-21 13:35:00,I-95,Level_1,1.0
70,Collision,2019-03-21 15:03:00,2019-03-21 15:20:00,I-95,Level_1,1.0
71,Collision,2019-03-21 22:41:00,2019-03-25 12:23:00,I-95,Level_5,1.0
72,Collision,2019-03-25 12:52:00,2019-03-25 13:32:00,I-95,Level_2,1.0
73,Collision,2019-03-25 22:03:00,2019-03-26 06:49:00,I-95,Level_5,1.0
74,Collision,2019-03-26 15:50:00,2019-03-26 16:41:00,I-95,Level_2,1.0
75,Collision,2019-03-28 19:29:00,2019-03-28 20:05:00,I-95,Level_2,
76,Collision,2019-03-30 11:20:00,2019-03-30 12:04:00,I-95,Level_2,5.0
77,Collision,2019-03-30 12:41:00,2019-03-30 13:02:00,I-95,Level_1,2.0
78,Collision,2019-03-31 15:27:00,2019-04-01 06:56:00,I-95,Level_5,1.0
79,Collision,2019-03-31 21:18:00,2019-03-31 21:50:00,I-95,Level_2,1.0
80,Collision,2019-01-01 13:06:00,2019-01-01 13:52:00,I-95,Level_2,1.0
81,Collision,2019-01-01 20:56:00,2019-01-01 21:32:00,I-95,Level_2,1.0
82,Collision,2019-01-02 10:04:00,2019-01-02 10:50:00,I-95,Level_2,1.0
83,Collision,2019-01-03 00:55:00,2019-01-03 01:13:00,I-95,Level_1,2.0
84,Collision,2019-01-03 08:55:00,2019-01-03 09:55:00,I-95,Level_2,
85,Collision,2019-01-03 09:14:00,2019-01-25 11:42:00,I-95,Level_5,2.0
86,Collision,2019-01-04 06:03:00,2019-01-04 07:03:00,I-95,Level_2,1.0
87,Collision,2019-01-04 14:34:00,2019-01-04 15:38:00,I-95,Level_3,1.0
88,Collision,2019-01-05 01:23:00,2019-01-05 02:39:00,I-95,Level_3,1.0
89,Collision,2019-01-05 10:20:00,2019-01-05 11:24:00,I-95,Level_3,
90,Collision,2019-01-05 10:40:00,2019-01-05 11:46:00,I-95,Level_3,1.0
91,Collision,2019-01-05 12:10:00,2019-01-05 12:50:00,I-95,Level_2,1.0
92,Collision,2019-01-06 06:39:00,2019-01-06 07:55:00,I-95,Level_3,1.0
93,Collision,2019-01-07 06:14:00,2019-01-07 07:15:00,I-95,Level_3,
94,Collision,2019-01-08 19:36:00,2019-01-08 19:58:00,I-95,Level_1,1.0
95,Collision,2019-01-08 22:54:00,2019-01-09 00:08:00,I-95,Level_3,1.0
96,Collision,2019-01-09 12:27:00,2019-01-09 13:02:00,I-95,Level_2,1.0
97,Collision,2019-01-11 02:57:00,2019-01-11 06:26:00,I-95,Level_4,
98,Collision,2019-01-11 15:23:00,2019-01-11 15:57:00,I-95,Level_2,1.0
99,Collision,2019-01-11 17:58:00,2019-01-11 19:05:00,I-95,Level_3,1.0
100,Collision,2019-01-12 23:56:00,2019-01-13 00:29:00,I-95,Level_2,
101,Collision,2019-01-13 00:35:00,2019-01-13 00:50:00,I-95,Level_1,
102,Collision,2019-01-13 00:47:00,2019-01-13 01:45:00,I-95,Level_2,3.0
103,Collision,2019-01-13 00:56:00,2019-01-13 01:17:00,I-95,Level_1,2.0
104,Collision,2019-01-13 08:01:00,2019-01-13 08:56:00,I-95,Level_2,
105,Collision,2019-01-13 09:09:00,2019-01-13 09:28:00,I-95,Level_1,1.0
106,Collision,2019-01-13 08:48:00,2019-01-13 10:32:00,I-95,Level_3,1.0
107,Collision,2019-01-14 20:13:00,2019-01-14 21:26:00,I-95,Level_3,1.0
108,Collision,2019-01-14 23:27:00,2019-01-15 00:55:00,I-95,Level_3,1.0
109,Collision,2019-01-15 08:07:00,2019-01-15 09:31:00,I-95,Level_3,2.0
110,Collision,2019-01-16 11:44:00,2019-01-16 12:02:00,I-95,Level_1,1.0
111,Collision,2019-01-17 06:58:00,2019-01-17 16:51:00,I-95,Level_5,2.0
112,Collision,2019-01-18 11:18:00,2019-01-18 11:18:00,I-95,Level_1,
113,Collision,2019-01-19 16:49:00,2019-01-19 18:05:00,I-95,Level_3,
114,Collision,2019-01-20 13:01:00,2019-01-20 13:39:00,I-95,Level_2,2.0
115,Collision,2019-01-20 15:09:00,2019-01-20 15:41:00,I-95,Level_2,1.0
116,Collision,2019-01-21 13:39:00,2019-01-21 14:11:00,I-95,Level_2,1.0
117,Collision,2019-01-21 17:02:00,2019-01-21 17:50:00,I-95,Level_2,1.0
118,Collision,2019-01-23 12:48:00,2019-01-23 13:51:00,I-95,Level_3,2.0
119,Collision,2019-01-24 08:46:00,2019-01-24 10:05:00,I-95,Level_3,2.0
120,Collision,2019-01-24 17:02:00,2019-01-24 17:49:00,I-95,Level_2,1.0
121,Collision,2019-01-24 20:18:00,2019-01-24 23:27:00,I-95,Level_4,1.0
122,Collision,2019-01-26 14:39:00,2019-01-26 16:39:00,I-95,Level_3,
123,Collision,2019-01-27 01:09:00,2019-01-27 01:50:00,I-95,Level_2,
124,Collision,2019-01-27 15:50:00,2019-01-27 16:12:00,I-95,Level_1,1.0
125,Collision,2019-01-30 14:09:00,2019-01-30 15:19:00,I-95,Level_3,1.0
126,Collision,2019-05-01 10:55:00,2019-05-02 07:37:00,I-95,Level_5,1.0
127,Collision,2019-05-01 16:30:00,2019-05-02 07:26:00,I-95,Level_5,1.0
128,Collision,2019-05-03 22:17:00,2019-05-03 23:34:00,I-95,Level_3,2.0
129,Collision,2019-05-05 01:48:00,2019-05-05 03:55:00,I-95,Level_4,
130,Collision,2019-05-05 14:51:00,2019-05-05 15:00:00,I-95,Level_1,
131,Collision,2019-05-05 17:26:00,2019-05-05 17:33:00,I-95,Level_1,
132,Collision,2019-05-06 07:19:00,2019-05-06 07:44:00,I-95,Level_1,1.0
133,Collision,2019-05-07 22:19:00,2019-05-07 23:23:00,I-95,Level_3,3.0
134,Collision,2019-05-08 09:39:00,2019-05-08 10:14:00,I-95,Level_2,2.0
135,Collision,2019-05-08 17:50:00,2019-05-08 18:58:00,I-95,Level_3,
136,Collision,2019-05-09 09:58:00,2019-05-09 12:54:00,I-95,Level_4,2.0
137,Collision,2019-05-09 12:28:00,2019-05-09 13:33:00,I-95,Level_3,1.0
138,Collision,2019-05-09 12:36:00,2019-05-09 13:40:00,I-95,Level_3,2.0
139,Collision,2019-05-10 18:26:00,2019-05-10 19:20:00,I-95,Level_2,
140,Collision,2019-05-11 17:35:00,2019-05-11 21:22:00,I-95,Level_4,
141,Collision,2019-05-13 07:36:00,2019-05-13 08:40:00,I-95,Level_3,1.0
142,Collision,2019-05-13 08:37:00,2019-05-13 09:11:00,I-95,Level_2,1.0
143,Collision,2019-05-13 17:57:00,2019-05-13 19:08:00,I-95,Level_3,
144,Collision,2019-05-14 09:34:00,2019-05-14 10:35:00,I-95,Level_3,1.0
145,Collision,2019-05-14 14:36:00,2019-05-14 15:32:00,I-95,Level_2,2.0
146,Collision,2019-05-15 14:06:00,2019-05-15 16:06:00,I-95,Level_3,5.0
147,Collision,2019-05-15 15:53:00,2019-05-15 17:42:00,I-95,Level_3,3.0
148,Collision,2019-05-16 12:31:00,2019-05-16 13:38:00,I-95,Level_3,1.0
149,Collision,2019-05-16 22:41:00,2019-05-16 23:28:00,I-95,Level_2,1.0
150,Collision,2019-05-17 12:51:00,2019-05-17 13:34:00,I-95,Level_2,1.0
151,Collision,2019-05-17 16:10:00,2019-05-20 13:24:00,I-95,Level_5,2.0
152,Collision,2019-05-17 23:04:00,2019-05-18 00:09:00,I-95,Level_3,2.0
153,Collision,2019-05-19 21:04:00,2019-05-19 22:22:00,I-95,Level_3,1.0
154,Collision,2019-05-20 16:56:00,2019-05-20 17:49:00,I-95,Level_2,
155,Collision,2019-05-21 19:56:00,2019-05-21 21:28:00,I-95,Level_3,1.0
156,Collision,2019-05-23 15:04:00,2019-05-23 15:45:00,I-95,Level_2,1.0
157,Collision,2019-05-24 13:34:00,2019-05-24 14:15:00,I-95,Level_2,4.0
158,Collision,2019-05-24 22:51:00,2019-05-24 23:31:00,I-95,Level_2,1.0
159,Collision,2019-05-24 23:55:00,2019-05-25 00:44:00,I-95,Level_2,1.0
