,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-02-04 07:25:00,2019-02-04 08:14:00,I-95,Level_2,1.0
1,Collision,2019-02-04 15:59:00,2019-02-04 16:13:00,I-95,Level_1,1.0
2,Collision,2019-02-05 05:50:00,2019-02-19 10:02:00,I-95,Level_5,1.0
3,Collision,2019-02-05 07:05:00,2019-02-19 10:34:00,I-95,Level_5,2.0
4,Collision,2019-02-05 08:10:00,2019-02-05 08:42:00,I-95,Level_2,0.0
5,Collision,2019-02-05 08:44:00,2019-02-05 08:59:00,I-95,Level_1,1.0
6,Collision,2019-02-05 10:01:00,2019-02-25 14:35:00,I-95,Level_5,0.0
7,Collision,2019-02-05 17:30:00,2019-02-05 18:28:00,I-95,Level_2,1.0
8,Collision,2019-02-05 18:18:00,2019-02-05 18:51:00,I-95,Level_2,1.0
9,Collision,2019-02-06 08:54:00,2019-02-06 08:59:00,I-95,Level_1,1.0
10,Collision,2019-02-06 09:33:00,2019-02-06 10:19:00,I-95,Level_2,1.0
11,Collision,2019-02-06 11:27:00,2019-02-08 08:42:00,I-95,Level_5,1.0
12,Collision,2019-02-06 16:10:00,2019-02-26 13:23:00,I-95,Level_5,5.0
13,Collision,2019-02-06 16:47:00,2019-02-06 17:35:00,I-95,Level_2,1.0
14,Collision,2019-02-06 17:44:00,2019-02-06 17:47:00,I-95,Level_1,0.0
15,Collision,2019-02-06 18:01:00,2019-02-06 18:59:00,I-95,Level_2,0.0
16,Collision,2019-02-06 18:17:00,2019-02-06 18:42:00,I-95,Level_1,2.0
17,Collision,2019-02-06 18:49:00,2019-02-06 19:57:00,I-95,Level_3,2.0
18,Collision,2019-02-07 00:04:00,2019-02-07 01:08:00,I-95,Level_3,1.0
19,Collision,2019-02-06 23:51:00,2019-02-07 00:07:00,I-95,Level_1,0.0
20,Collision,2019-02-07 07:13:00,2019-02-07 07:51:00,I-95,Level_2,1.0
21,Collision,2019-02-07 16:32:00,2019-02-07 17:47:00,I-95,Level_3,2.0
22,Collision,2019-02-07 18:45:00,2019-02-07 19:39:00,I-95,Level_2,1.0
23,Collision,2019-02-08 07:29:00,2019-02-08 08:24:00,I-95,Level_2,1.0
24,Collision,2019-02-08 08:09:00,2019-02-08 09:39:00,I-95,Level_3,1.0
25,Collision,2019-02-08 08:50:00,2019-02-08 09:58:00,I-95,Level_3,3.0
