,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Road Maintenance Operations,2019-02-04 21:00:00,2019-02-06 04:45:00,I-95,1905.0,2.0
1,Bridge Maintenance Operations,2019-02-06 21:30:00,2019-02-08 21:05:00,I-95,2855.0,2.0
2,Utility Work,2019-02-01 11:17:00,2019-02-01 15:25:00,I-95,248.0,0.0
3,Road Maintenance Operations,2019-02-03 23:45:00,2019-02-04 17:00:00,I-95,1035.0,1.0
4,Utility Work,2019-02-02 12:49:00,2019-02-02 14:45:00,I-95,116.0,1.0
5,Road Maintenance Operations,2019-02-04 07:30:00,2019-02-04 16:55:00,I-95,565.0,1.0
6,Road Maintenance Operations,2019-02-04 10:54:00,2019-02-04 12:15:00,I-95,81.0,1.0
7,Bridge Maintenance Operations,2019-02-05 09:03:00,2019-02-05 10:35:00,I-95,92.0,1.0
8,Road Maintenance Operations,2019-02-05 09:37:00,2019-02-05 14:40:00,I-95,303.0,2.0
9,Road Maintenance Operations,2019-02-05 20:30:00,2019-02-06 03:05:00,I-95,395.0,2.0
10,Road Maintenance Operations,2019-02-05 22:04:00,2019-02-06 04:15:00,I-95,371.0,2.0
11,Road Maintenance Operations,2019-02-13 09:00:00,2019-02-13 21:00:00,I-95,720.0,1.0
12,Road Maintenance Operations,2019-02-06 20:26:00,2019-02-07 01:00:00,I-95,274.0,2.0
13,Bridge Maintenance Operations,2019-02-10 21:00:00,2019-02-12 20:50:00,I-95,2870.0,0.0
14,Road Maintenance Operations,2019-02-11 10:42:00,2019-02-11 12:30:00,I-95,108.0,0.0
15,Road Maintenance Operations,2019-02-08 20:45:00,2019-02-09 03:40:00,I-95,415.0,2.0
16,Road Maintenance Operations,2019-02-13 07:46:00,2019-02-13 16:55:00,I-95,549.0,2.0
17,Road Maintenance Operations,2019-02-13 09:21:00,2019-02-13 11:30:00,I-95,129.0,3.0
18,Bridge Maintenance Operations,2019-02-17 21:30:00,2019-02-19 21:25:00,I-95,2875.0,4.0
19,Road Maintenance Operations,2019-02-13 11:55:00,2019-02-13 16:20:00,I-95,265.0,4.0
20,Road Maintenance Operations,2019-02-14 09:09:00,2019-02-14 16:00:00,I-95,411.0,4.0
21,Roadwork,2019-02-15 09:50:00,2019-02-15 15:45:00,I-95,355.0,1.0
22,Road Maintenance Operations,2019-02-15 11:20:00,2019-02-15 12:00:00,I-95,40.0,4.0
23,Road Maintenance Operations,2019-02-18 12:32:00,2019-02-18 18:05:00,I-95,333.0,2.0
24,Road Maintenance Operations,2019-02-18 09:33:00,2019-02-18 11:00:00,I-95,87.0,2.0
25,Road Maintenance Operations,2019-02-18 17:03:00,2019-02-18 17:40:00,I-95,37.0,1.0
26,Bridge Maintenance Operations,2019-02-25 22:30:00,2019-02-26 21:25:00,I-95,1375.0,4.0
27,Road Maintenance Operations,2019-02-21 09:14:00,2019-02-21 11:45:00,I-95,151.0,4.0
28,Road Maintenance Operations,2019-02-21 09:08:00,2019-02-21 15:25:00,I-95,377.0,0.0
29,Road Maintenance Operations,2019-02-21 09:19:00,2019-02-21 10:30:00,I-95,71.0,4.0
30,Road Maintenance Operations,2019-02-25 20:30:00,2019-02-26 05:20:00,I-95,530.0,2.0
31,Utility Work,2019-02-22 10:34:00,2019-02-22 12:05:00,I-95,91.0,1.0
32,Road Maintenance Operations,2019-02-22 12:16:00,2019-02-22 13:25:00,I-95,69.0,1.0
33,Road Maintenance Operations,2019-02-24 19:31:00,2019-02-25 01:25:00,I-95,354.0,1.0
34,Road Maintenance Operations,2019-02-24 21:12:00,2019-02-24 23:20:00,I-95,128.0,1.0
35,Road Maintenance Operations,2019-02-25 20:39:00,2019-02-25 22:50:00,I-95,131.0,1.0
36,Road Maintenance Operations,2019-02-26 09:00:00,2019-02-26 13:55:00,I-95,295.0,1.0
37,Road Maintenance Operations,2019-02-26 08:34:00,2019-02-26 09:35:00,I-95,61.0,4.0
38,Road Maintenance Operations,2019-02-27 09:41:00,2019-02-27 17:00:00,I-95,439.0,0.0
39,Road Maintenance Operations,2019-02-27 12:20:00,2019-02-27 13:00:00,I-95,40.0,2.0
40,Road Maintenance Operations,2019-02-27 20:55:00,2019-02-28 05:35:00,I-95,520.0,2.0
41,Road Maintenance Operations,2019-02-27 21:36:00,2019-02-28 02:00:00,I-95,264.0,3.0
42,Road Maintenance Operations,2019-02-28 07:27:00,2019-02-28 16:20:00,I-95,533.0,1.0
43,Road Maintenance Operations,2019-02-28 10:22:00,2019-02-28 13:45:00,I-95,203.0,0.0
44,Road Maintenance Operations,2019-02-28 21:18:00,2019-03-01 00:45:00,I-95,207.0,3.0
45,Bridge Maintenance Operations,2019-03-01 23:00:00,2019-03-03 18:20:00,I-95,2600.0,2.0
46,Road Maintenance Operations,2019-03-08 08:57:00,2019-03-08 15:55:00,I-95,418.0,3.0
47,Road Maintenance Operations,2019-03-04 08:33:00,2019-03-04 16:50:00,I-95,497.0,2.0
48,Road Maintenance Operations,2019-03-04 09:40:00,2019-03-04 15:10:00,I-95,330.0,2.0
49,Road Maintenance Operations,2019-03-04 09:41:00,2019-03-04 10:40:00,I-95,59.0,2.0
50,Construction Work,2019-03-04 10:57:00,2019-03-04 16:00:00,I-95,303.0,3.0
51,Road Maintenance Operations,2019-03-05 08:26:00,2019-03-05 14:55:00,I-95,389.0,0.0
52,Road Maintenance Operations,2019-03-05 08:36:00,2019-03-05 14:05:00,I-95,329.0,4.0
53,Utility Work,2019-03-05 11:36:00,2019-03-05 13:15:00,I-95,99.0,8.0
54,Road Maintenance Operations,2019-03-06 08:36:00,2019-03-06 15:00:00,I-95,384.0,4.0
55,Bridge Maintenance Operations,2019-03-09 07:00:00,2019-03-10 17:25:00,I-95,2065.0,0.0
56,Road Maintenance Operations,2019-03-12 09:00:00,2019-03-12 12:50:00,I-95,230.0,2.0
57,Road Maintenance Operations,2019-03-07 09:24:00,2019-03-07 11:35:00,I-95,131.0,2.0
58,Road Maintenance Operations,2019-03-10 09:00:00,2019-03-12 05:05:00,I-95,2645.0,1.0
59,Road Maintenance Operations,2019-03-07 11:45:00,2019-03-07 15:25:00,I-95,220.0,1.0
60,Road Maintenance Operations,2019-03-08 08:15:00,2019-03-08 10:10:00,I-95,115.0,1.0
61,Road Maintenance Operations,2019-03-08 15:24:00,2019-03-08 15:55:00,I-95,31.0,2.0
62,Road Maintenance Operations,2019-03-11 09:09:00,2019-03-12 17:05:00,I-95,1916.0,1.0
63,Road Maintenance Operations,2019-03-11 08:28:00,2019-03-11 16:45:00,I-95,497.0,3.0
64,Road Maintenance Operations,2019-03-11 08:43:00,2019-03-11 14:55:00,I-95,372.0,1.0
65,Construction Work,2019-03-18 19:00:00,2019-03-18 21:10:00,I-95,130.0,2.0
66,Bridge Maintenance Operations,2019-03-15 21:00:00,2019-03-17 04:55:00,I-95,1915.0,3.0
67,Road Maintenance Operations,2019-03-12 08:53:00,2019-03-12 16:10:00,I-95,437.0,0.0
68,Road Maintenance Operations,2019-03-12 09:12:00,2019-03-12 16:45:00,I-95,453.0,2.0
69,Road Maintenance Operations,2019-03-12 09:44:00,2019-03-12 16:00:00,I-95,376.0,1.0
70,Road Maintenance Operations,2019-03-13 02:45:00,2019-03-13 05:00:00,I-95,135.0,1.0
71,Road Maintenance Operations,2019-03-13 07:02:00,2019-03-13 16:45:00,I-95,583.0,1.0
72,Road Maintenance Operations,2019-03-13 07:31:00,2019-03-13 08:15:00,I-95,44.0,2.0
73,Road Maintenance Operations,2019-03-18 09:00:00,2019-03-19 14:35:00,I-95,1775.0,1.0
74,Road Maintenance Operations,2019-03-17 19:58:00,2019-03-19 21:05:00,I-95,2947.0,3.0
75,Road Maintenance Operations,2019-03-18 21:00:00,2019-03-19 23:40:00,I-95,1600.0,2.0
76,Road Maintenance Operations,2019-03-13 19:33:00,2019-03-14 05:00:00,I-95,567.0,3.0
77,Road Maintenance Operations,2019-03-14 08:50:00,2019-03-14 17:05:00,I-95,495.0,1.0
78,Road Maintenance Operations,2019-03-18 08:19:00,2019-03-19 15:30:00,I-95,1871.0,2.0
79,Road Maintenance Operations,2019-03-18 11:13:00,2019-03-18 12:30:00,I-95,77.0,2.0
80,Road Maintenance Operations,2019-03-18 18:13:00,2019-03-18 19:25:00,I-95,72.0,1.0
81,Road Maintenance Operations,2019-03-18 18:25:00,2019-03-18 22:30:00,I-95,245.0,1.0
82,Road Maintenance Operations,2019-03-18 21:13:00,2019-03-19 03:05:00,I-95,352.0,1.0
83,Road Maintenance Operations,2019-03-19 09:12:00,2019-03-19 17:35:00,I-95,503.0,1.0
84,Road Maintenance Operations,2019-03-20 09:24:00,2019-03-20 16:35:00,I-95,431.0,0.0
85,Road Maintenance Operations,2019-03-26 20:30:00,2019-03-27 03:35:00,I-95,425.0,0.0
86,Paving Operations,2019-03-24 19:00:00,2019-03-25 03:50:00,I-95,530.0,0.0
87,Utility Work,2019-03-22 10:14:00,2019-03-22 13:05:00,I-95,171.0,2.0
88,Road Maintenance Operations,2019-03-24 20:39:00,2019-03-25 04:10:00,I-95,451.0,2.0
89,Road Maintenance Operations,2019-03-25 08:28:00,2019-03-25 16:05:00,I-95,457.0,1.0
90,Road Maintenance Operations,2019-03-27 21:00:00,2019-03-28 05:05:00,I-95,485.0,0.0
91,Road Maintenance Operations,2019-03-25 13:20:00,2019-03-25 17:00:00,I-95,220.0,2.0
92,Road Maintenance Operations,2019-03-25 23:12:00,2019-03-26 01:55:00,I-95,163.0,2.0
93,Road Maintenance Operations,2019-03-26 09:00:00,2019-03-26 16:25:00,I-95,445.0,1.0
94,Road Maintenance Operations,2019-03-26 07:28:00,2019-03-26 17:00:00,I-95,572.0,1.0
95,Road Maintenance Operations,2019-03-26 19:34:00,2019-03-27 01:20:00,I-95,346.0,1.0
96,Road Maintenance Operations,2019-03-28 08:03:00,2019-03-28 16:25:00,I-95,502.0,1.0
97,Road Maintenance Operations,2019-03-28 08:07:00,2019-03-28 16:35:00,I-95,508.0,2.0
98,Road Maintenance Operations,2019-03-28 11:54:00,2019-03-28 13:50:00,I-95,116.0,0.0
99,Bridge Maintenance Operations,2019-03-29 09:30:00,2019-03-29 11:25:00,I-95,115.0,1.0
100,Road Maintenance Operations,2019-03-29 09:44:00,2019-03-29 11:05:00,I-95,81.0,1.0
101,Road Maintenance Operations,2019-03-31 19:34:00,2019-04-01 03:25:00,I-95,471.0,2.0
102,Bridge Maintenance Operations,2019-01-06 18:35:00,2019-01-08 01:45:00,I-95,1870.0,1.0
103,Road Maintenance Operations,2019-01-02 11:11:00,2019-01-02 12:50:00,I-95,99.0,0.0
104,Road Maintenance Operations,2019-01-02 12:33:00,2019-01-02 16:00:00,I-95,207.0,2.0
105,Road Maintenance Operations,2019-01-02 12:57:00,2019-01-02 14:05:00,I-95,68.0,1.0
106,Road Maintenance Operations,2019-01-02 20:21:00,2019-01-02 22:10:00,I-95,109.0,1.0
107,Road Maintenance Operations,2019-01-04 10:11:00,2019-01-04 11:25:00,I-95,74.0,1.0
108,Road Maintenance Operations,2019-01-04 12:30:00,2019-01-04 13:10:00,I-95,40.0,2.0
109,Road Maintenance Operations,2019-01-07 08:48:00,2019-01-07 15:55:00,I-95,427.0,1.0
110,Bridge Maintenance Operations,2019-01-09 19:30:00,2019-01-10 05:30:00,I-95,600.0,1.0
111,Road Maintenance Operations,2019-01-07 21:02:00,2019-01-08 03:10:00,I-95,368.0,0.0
112,Road Maintenance Operations,2019-01-08 09:00:00,2019-01-08 15:55:00,I-95,415.0,1.0
113,Road Maintenance Operations,2019-01-08 20:45:00,2019-01-10 03:05:00,I-95,1820.0,1.0
114,Road Maintenance Operations,2019-01-08 08:54:00,2019-01-08 16:45:00,I-95,471.0,0.0
115,Road Maintenance Operations,2019-01-08 12:23:00,2019-01-08 18:05:00,I-95,342.0,2.0
116,Road Maintenance Operations,2019-01-16 20:00:00,2019-01-18 02:20:00,I-95,1820.0,1.0
117,Road Maintenance Operations,2019-01-09 14:19:00,2019-01-09 15:10:00,I-95,51.0,0.0
118,Road Construction,2019-01-16 00:00:00,2019-01-17 05:00:00,I-95,1740.0,2.0
119,Road Maintenance Operations,2019-01-10 08:43:00,2019-01-10 12:05:00,I-95,202.0,2.0
120,Road Maintenance Operations,2019-01-10 19:58:00,2019-01-11 17:10:00,I-95,1272.0,3.0
121,Road Maintenance Operations,2019-01-11 09:38:00,2019-01-11 11:00:00,I-95,82.0,2.0
