,Standardized Type,Start time,Closed time,Location,Duration,Max Lanes Closed
0,Collision,2019-02-03 14:21:00,2019-02-03 15:19:00,I-495,Level_2,1.0
1,Collision,2019-02-03 17:56:00,2019-02-03 18:06:00,I-495,Level_1,1.0
2,Collision,2019-02-04 07:23:00,2019-02-05 07:40:00,I-495,Level_5,1.0
3,Collision,2019-02-04 08:14:00,2019-02-04 08:52:00,I-495,Level_2,1.0
4,Collision,2019-02-04 10:06:00,2019-02-04 10:42:00,I-495,Level_2,1.0
5,Collision,2019-02-04 10:45:00,2019-02-04 12:28:00,I-495,Level_3,2.0
6,Collision,2019-02-04 19:20:00,2019-02-04 21:01:00,I-495,Level_3,1.0
7,Collision,2019-02-05 07:00:00,2019-02-05 07:51:00,I-495,Level_2,1.0
8,Collision,2019-02-05 16:51:00,2019-02-05 17:48:00,I-495,Level_2,1.0
9,Collision,2019-02-06 08:14:00,2019-02-06 09:52:00,I-495,Level_3,1.0
10,Collision,2019-02-06 12:08:00,2019-02-06 13:20:00,I-495,Level_3,1.0
11,Collision,2019-02-08 13:09:00,2019-02-09 07:48:00,I-495,Level_5,3.0
12,Collision,2019-02-08 13:25:00,2019-02-08 13:28:00,I-495,Level_1,1.0
13,Collision,2019-02-10 04:46:00,2019-02-10 05:58:00,I-495,Level_3,1.0
14,Collision,2019-02-11 06:53:00,2019-02-11 08:02:00,I-495,Level_3,1.0
15,Collision,2019-02-12 08:32:00,2019-02-12 09:18:00,I-495,Level_2,1.0
16,Collision,2019-02-12 11:56:00,2019-02-12 12:54:00,I-495,Level_2,3.0
17,Collision,2019-02-12 12:04:00,2019-02-12 14:29:00,I-495,Level_4,2.0
18,Collision,2019-02-13 10:22:00,2019-02-13 11:21:00,I-495,Level_2,2.0
19,Collision,2019-02-13 17:07:00,2019-02-13 18:49:00,I-495,Level_3,2.0
20,Collision,2019-02-13 19:15:00,2019-02-13 20:33:00,I-495,Level_3,1.0
21,Collision,2019-02-13 19:41:00,2019-02-13 20:52:00,I-495,Level_3,1.0
22,Collision,2019-02-14 06:36:00,2019-02-14 09:22:00,I-495,Level_4,2.0
23,Collision,2019-02-14 16:05:00,2019-02-15 07:46:00,I-495,Level_5,1.0
24,Collision,2019-02-14 17:18:00,2019-02-14 18:07:00,I-495,Level_2,1.0
25,Collision,2019-02-14 18:34:00,2019-02-14 18:39:00,I-495,Level_1,0.0
